Epoch,Accuracy
1,0.8527272727272728
2,0.8127272727272727
3,0.850909090909091
4,0.8345454545454546
5,0.8163636363636364
6,0.8527272727272728
7,0.8363636363636363
8,0.8345454545454546
9,0.850909090909091
10,0.850909090909091
11,0.8545454545454547
12,0.850909090909091
13,0.8545454545454547
14,0.8527272727272728
15,0.8327272727272726
16,0.8127272727272727
17,0.8363636363636363
18,0.8309090909090908
19,0.8109090909090909
20,0.850909090909091
21,0.8145454545454547
22,0.8345454545454546
23,0.8145454545454547
24,0.7945454545454546
25,0.8527272727272728
26,0.8345454545454546
27,0.8181818181818181
28,0.8527272727272728
29,0.8363636363636363
30,0.849090909090909
31,0.8181818181818183
32,0.8545454545454547
33,0.8345454545454546
34,0.8527272727272728
35,0.8345454545454546
36,0.8327272727272728
37,0.8727272727272727
38,0.8272727272727274
39,0.8345454545454546
40,0.8327272727272728
41,0.850909090909091
42,0.850909090909091
43,0.850909090909091
44,0.8472727272727273
45,0.8345454545454546
46,0.8327272727272728
47,0.7963636363636363
48,0.8345454545454546
49,0.8727272727272727
50,0.8490909090909092
51,0.8345454545454546
52,0.8127272727272727
53,0.8145454545454545
54,0.8345454545454546
55,0.8309090909090908
56,0.809090909090909
57,0.8345454545454546
58,0.850909090909091
59,0.8527272727272728
60,0.8327272727272728
61,0.8145454545454545
62,0.8527272727272728
63,0.8345454545454546
64,0.8345454545454546
65,0.8109090909090909
66,0.8527272727272729
67,0.8345454545454546
68,0.8545454545454547
69,0.8309090909090908
70,0.8490909090909092
71,0.7963636363636363
72,0.850909090909091
73,0.8163636363636364
74,0.8545454545454545
75,0.7963636363636363
76,0.8345454545454546
77,0.850909090909091
78,0.7963636363636363
79,0.8709090909090909
80,0.8527272727272728
81,0.8527272727272728
82,0.890909090909091
83,0.8527272727272728
84,0.8327272727272728
85,0.8527272727272728
86,0.8163636363636364
87,0.8527272727272728
88,0.8363636363636363
89,0.8254545454545456
90,0.8327272727272728
91,0.830909090909091
92,0.8545454545454547
93,0.8163636363636364
94,0.8109090909090909
95,0.8
96,0.8454545454545453
97,0.8345454545454546
98,0.850909090909091
99,0.8327272727272728
100,0.8327272727272728
