Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Class,Class_Value,Longitude,Latitude
0.0656,0.08005,0.06115,0.059049997,0.044749998,0.0359,-0.0174709,0.2828526,-0.13776493,Waterbody,4,90.39866208970476,23.73301341523286
0.04905,0.05075,0.041249998,0.0475,0.0286,0.01955,0.07042255,0.27914304,-0.24835742,Waterbody,4,90.4023260963568,23.735568213943893
0.05585,0.06785,0.0512,0.04515,0.022149999,0.0164,-0.062791884,0.5077778,-0.34175336,Waterbody,4,90.3797914352057,23.783387247018286
0.056599997,0.063999996,0.050699998,0.0433,0.02605,0.01895,-0.07872339,0.4214325,-0.24873829,Waterbody,4,90.39837757233072,23.75084386947125
0.0712,0.084249996,0.059249997,0.05185,0.015899999,0.01285,-0.06660665,0.6824763,-0.53062725,Waterbody,4,90.41455453033169,23.769382614717017
0.04635,0.04725,0.038149998,0.03715,0.02005,0.0134499995,-0.013280191,0.40416047,-0.29895103,Waterbody,4,90.37783769156769,23.74411236936243
0.06605,0.1118,0.06635,0.0446,0.024349999,0.01625,-0.19603425,0.64230627,-0.2936911,Waterbody,4,90.380049167141,23.762884383971848
0.05215,0.0616,0.045399997,0.071499996,0.07695,0.05295,0.22326775,-0.11079032,0.03671272,Waterbody,4,90.35556118785135,23.750054359122498
